实际	时间	                确诊	疑似	死亡	出院
1	1-21-00:00	77	27	0	0
2	1-22-00:00	440	53	0	0
3	1-23-00:00	571	393	17	0
4	1-24-00:00	830	1072	25	0
5	1-25-00:00	1287	1965	41	38
6	1-26-00:00	1975	2684	56	49
7	1-27-00:00	2744	5794	80	51
8	1-28-00:00	4515	6973	106	60
9	1-29-00:00	5974	9239	132	103
10	1-30-00:00	7711	12167	170	124
11	1-31-00:00	9692	15238	213	171
12	2-01-00:00	11791	17988	259	243
13	2-02-00:00	14380	19544	304	328
14	2-03-00:00	17205	21558	361	475
15	2-04-00:00	20438	23214	425	632
16	2-05-00:00	24324	23260	490	892
17	2-06-00:00	28018	24702	563	1153
18	2-07-00:00	31211	26359	636	1540
19	2-08-00:00	34622	27657	723	2059
20	2-09-00:00	37198	28942	811	2649
21	2-10-00:00	40235	23589	909	3283
